,GP  Games played,GS  Games started,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,STL  Total Steals,SPG  Steals Per Game,Player,Position,Team
159,20,20,,,,,,15.0,0.75,Kristaps Porzingis,C,WAS
160,20,20,,,,,,15.0,0.75,Patrick Williams,PF,CHI
161,19,19,,,,,,14.0,0.74,Steven Adams,C,MEM
162,19,19,,,,,,14.0,0.74,Ayo Dosunmu,PG,CHI
163,22,22,,,,,,16.0,0.73,Kevin Durant,PF,BKN
164,18,1,,,,,,13.0,0.72,Terence Davis,SF,SAC
165,18,18,,,,,,13.0,0.72,Jusuf Nurkic,C,POR
166,18,14,,,,,,13.0,0.72,Aleksej Pokusevski,PF,OKC
167,17,15,,,,,,12.0,0.71,Troy Brown Jr.,SF,LAL
168,17,17,,,,,,12.0,0.71,Eric Gordon,SF,HOU
169,17,2,,,,,,12.0,0.71,Josh Richardson,SG,SA
170,17,6,,,,,,12.0,0.71,Jalen Williams,SG,OKC
171,20,0,,,,,,14.0,0.7,Jalen Johnson,SF,ATL
172,19,5,,,,,,13.0,0.68,Keita Bates-Diop,SF,SA
173,19,19,,,,,,13.0,0.68,Rudy Gobert,C,MIN
174,19,2,,,,,,13.0,0.68,Tim Hardaway Jr.,SG,DAL
175,19,1,,,,,,13.0,0.68,Aaron Holiday,PG,ATL
176,19,19,,,,,,13.0,0.68,Brook Lopez,C,MIL
177,19,3,,,,,,13.0,0.68,Kenrich Williams,SG,OKC
178,21,18,,,,,,14.0,0.67,Deni Avdija,SF,WAS
179,21,0,,,,,,14.0,0.67,Will Barton,SG,WAS
180,18,18,,,,,,12.0,0.67,Klay Thompson,SG,GS
181,20,12,,,,,,13.0,0.65,Torrey Craig,SF,PHO
182,17,17,,,,,,11.0,0.65,Aaron Gordon,PF,DEN
183,17,14,,,,,,11.0,0.65,Caris LeVert,SF,CLE
184,23,6,,,,,,15.0,0.65,Collin Sexton,SG,UTA
185,22,22,,,,,,14.0,0.64,Reggie Jackson,PG,LAC
186,19,19,,,,,,12.0,0.63,Clint Capela,C,ATL
187,19,0,,,,,,12.0,0.63,JaMychal Green,C,GS
188,19,0,,,,,,12.0,0.63,Malik Monk,SG,SAC
189,16,16,,,,,,10.0,0.63,Michael Porter Jr.,SF,DEN
190,21,21,,,,,,13.0,0.62,P.J. Tucker,PF,PHI
191,21,21,,,,,,13.0,0.62,P.J. Washington,PF,CHA
192,18,7,,,,,,11.0,0.61,Chuma Okeke,PF,ORL
193,15,0,,,,,,9.0,0.6,Oshae Brissett,SF,IND
194,20,3,,,,,,12.0,0.6,Tyus Jones,PG,MEM
195,20,0,,,,,,12.0,0.6,Bennedict Mathurin,SG,IND
196,15,15,,,,,,9.0,0.6,Myles Turner,C,IND
197,15,5,,,,,,9.0,0.6,Aaron Wiggins,SF,OKC
198,20,10,,,,,,12.0,0.6,Grant Williams,PF,BOS
199,17,13,,,,,,10.0,0.59,Dwight Powell,C,DAL
200,19,3,,,,,,11.0,0.58,Isaiah Jackson,C,IND
201,19,4,,,,,,11.0,0.58,Naji Marshall,SF,NO
202,23,0,,,,,,13.0,0.57,Hamidou Diallo,SF,DET
203,14,0,,,,,,8.0,0.57,Andre Drummond,C,CHI
204,21,0,,,,,,12.0,0.57,Jaylen Nowell,SG,MIN
205,21,4,,,,,,12.0,0.57,Isaac Okoro,SG,CLE
206,21,21,,,,,,12.0,0.57,Mason Plumlee,C,CHA
207,18,18,,,,,,10.0,0.56,Deandre Ayton,C,PHO
208,16,2,,,,,,9.0,0.56,Dalano Banton,PG,TOR
209,16,0,,,,,,9.0,0.56,Darius Bazley,PF,OKC
210,16,0,,,,,,9.0,0.56,Jake LaRavia,SF,MEM
211,16,0,,,,,,9.0,0.56,Wesley Matthews,SG,MIL
212,16,0,,,,,,9.0,0.56,Cameron Thomas,SG,BKN
213,22,1,,,,,,12.0,0.55,Nicolas Batum,PF,LAC
214,20,0,,,,,,11.0,0.55,Devonte' Graham,PG,NO
215,20,2,,,,,,11.0,0.55,Onyeka Okongwu,C,ATL
216,17,17,,,,,,9.0,0.53,Jarrett Allen,C,CLE
217,17,0,,,,,,9.0,0.53,Malcolm Brogdon,PG,BOS
218,15,15,,,,,,8.0,0.53,Wendell Carter Jr.,C,ORL
219,17,2,,,,,,9.0,0.53,Wenyen Gabriel,PF,LAL
220,15,7,,,,,,8.0,0.53,Dean Wade,PF,CLE
221,20,0,,,,,,10.0,0.5,Jalen Duren,C,DET
222,16,9,,,,,,8.0,0.5,Aaron Nesmith,SF,IND
223,21,21,,,,,,10.0,0.48,R.J. Barrett,SF,NY
224,23,23,,,,,,11.0,0.48,Lauri Markkanen,SF,UTA
225,15,6,,,,,,7.0,0.47,MarJon Beauchamp,SG,MIL
226,19,0,,,,,,9.0,0.47,James Bouknight,SG,CHA
227,17,0,,,,,,8.0,0.47,Garrison Mathews,SF,HOU
228,20,3,,,,,,9.0,0.45,Drew Eubanks,C,POR
229,20,0,,,,,,9.0,0.45,Damion Lee,SG,PHO
230,22,10,,,,,,10.0,0.45,Terance Mann,SF,LAC
231,20,5,,,,,,9.0,0.45,Kenyon Martin Jr.,SF,HOU
232,22,22,,,,,,10.0,0.45,Ivica Zubac,C,LAC
233,18,18,,,,,,8.0,0.44,Josh Giddey,PG,OKC
234,18,0,,,,,,8.0,0.44,Christian Wood,C,DAL
235,21,6,,,,,,9.0,0.43,Isaiah Livers,SF,DET
236,21,0,,,,,,9.0,0.43,Georges Niang,PF,PHI
237,21,0,,,,,,9.0,0.43,Obi Toppin,PF,NY
238,19,0,,,,,,8.0,0.42,Christian Braun,SG,DEN
239,19,0,,,,,,8.0,0.42,George Hill,PG,MIL
240,19,1,,,,,,8.0,0.42,Davion Mitchell,PG,SAC
241,19,5,,,,,,8.0,0.42,Bobby Portis,C,MIL
242,19,7,,,,,,8.0,0.42,Austin Reaves,SG,LAL
243,22,22,,,,,,9.0,0.41,Bojan Bogdanovic,SF,DET
244,17,17,,,,,,7.0,0.41,Al Horford,C,BOS
245,22,22,,,,,,9.0,0.41,Kevon Looney,C,GS
246,17,0,,,,,,7.0,0.41,Josh Okogie,SF,PHO
247,20,11,,,,,,8.0,0.4,Joe Harris,SG,BKN
248,18,1,,,,,,7.0,0.39,Moses Moody,SF,GS
249,16,3,,,,,,6.0,0.38,Jeff Green,PF,DEN
250,16,0,,,,,,6.0,0.38,Maxi Kleber,PF,DAL
251,21,0,,,,,,8.0,0.38,Nassir Little,SF,POR
252,16,0,,,,,,6.0,0.38,Trey Lyles,C,SAC
253,16,0,,,,,,6.0,0.38,Isaiah Roby,C,SA
254,23,23,,,,,,8.0,0.35,Jordan Clarkson,PG,UTA
255,20,20,,,,,,7.0,0.35,De'Andre Hunter,SF,ATL
256,20,20,,,,,,7.0,0.35,Kyle Kuzma,PF,WAS
257,20,0,,,,,,7.0,0.35,David Roddy,SF,MEM
258,20,20,,,,,,7.0,0.35,Jonas Valanciunas,C,NO
259,21,16,,,,,,7.0,0.33,Bol Bol,PF,ORL
260,15,0,,,,,,5.0,0.33,Isaiah Joe,SG,OKC
261,15,0,,,,,,5.0,0.33,Derrick Jones Jr.,SF,CHI
262,18,2,,,,,,6.0,0.33,Jonathan Kuminga,PF,GS
263,15,0,,,,,,5.0,0.33,Chimezie Metu,PF,SAC
264,18,0,,,,,,6.0,0.33,Taurean Prince,PF,MIN
265,15,2,,,,,,5.0,0.33,Jericho Sims,C,NY
266,19,0,,,,,,6.0,0.32,Goran Dragic,PG,CHI
267,19,2,,,,,,6.0,0.32,Danuel House Jr.,SF,PHI
268,19,0,,,,,,6.0,0.32,Derrick Rose,PG,NY
269,19,19,,,,,,6.0,0.32,Jabari Smith,PF,HOU
270,16,2,,,,,,5.0,0.31,Bismack Biyombo,C,PHO
271,16,0,,,,,,5.0,0.31,Rui Hachimura,PF,WAS
272,20,1,,,,,,6.0,0.3,Brandon Clarke,PF,MEM
273,20,20,,,,,,6.0,0.3,Jalen Smith,PF,IND
274,20,20,,,,,,6.0,0.3,Nikola Vucevic,C,CHI
275,21,0,,,,,,6.0,0.29,Daniel Gafford,C,WAS
276,17,2,,,,,,5.0,0.29,Cory Joseph,SG,DET
277,17,0,,,,,,5.0,0.29,Jock Landale,C,PHO
278,17,6,,,,,,5.0,0.29,Shake Milton,SG,PHI
