,GP  Games played,GS  Games started,MPG  Minutes Per Game,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,Player,Position,Team
186,15,15,,,,,,24.0,1.6,25.0,1.7,1.0,Myles Turner,C,IND
187,23,2,,,,,,35.0,1.5,21.0,0.9,1.7,Malik Beasley,SG,UTA
188,18,17,,,,,,27.0,1.5,26.0,1.4,1.0,Saddiq Bey,SF,DET
189,20,12,,,,,,30.0,1.5,14.0,0.7,2.1,Torrey Craig,SF,PHO
190,19,1,,,,,,28.0,1.5,15.0,0.8,1.9,Aaron Holiday,PG,ATL
191,19,11,,,,,,29.0,1.5,14.0,0.7,2.1,John Konchar,SG,MEM
192,20,5,,,,,,29.0,1.5,27.0,1.4,1.1,Kenyon Martin Jr.,SF,HOU
193,21,5,,,,,,31.0,1.5,35.0,1.7,0.9,Norman Powell,SG,LAC
194,19,0,,,,,,26.0,1.4,18.0,1.0,1.4,James Bouknight,SG,CHA
195,18,1,,,,,,25.0,1.4,13.0,0.7,1.9,Terence Davis,SF,SAC
196,19,19,,,,,,26.0,1.4,29.0,1.5,0.9,Jaden McDaniels,SF,MIN
197,18,7,,,,,,26.0,1.4,9.0,0.5,2.9,Chuma Okeke,PF,ORL
198,18,8,,,,,,25.0,1.4,24.0,1.3,1.0,Terrence Ross,SG,ORL
199,19,3,,,,,,27.0,1.4,8.0,0.4,3.4,Kenrich Williams,SG,OKC
200,21,21,,,,,,30.0,1.4,48.0,2.3,0.6,Ivica Zubac,C,LAC
201,17,17,,,,,,22.0,1.3,29.0,1.7,0.8,Jarrett Allen,C,CLE
202,21,1,,,,,,27.0,1.3,18.0,0.9,1.5,Nicolas Batum,PF,LAC
203,20,1,,,,,,26.0,1.3,22.0,1.1,1.2,Brandon Clarke,PF,MEM
204,21,21,,,,,,27.0,1.3,31.0,1.5,0.9,Nicolas Claxton,C,BKN
205,18,3,,,,,,23.0,1.3,8.0,0.4,2.9,Amir Coffey,SG,LAC
206,21,21,,,,,,28.0,1.3,30.0,1.4,0.9,John Collins,PF,ATL
207,20,0,,,,,,26.0,1.3,14.0,0.7,1.9,Damion Lee,SG,PHO
208,19,0,,,,,,25.0,1.3,20.0,1.1,1.3,Doug McDermott,SF,SA
209,16,9,,,,,,21.0,1.3,17.0,1.1,1.2,Aaron Nesmith,SF,IND
210,16,16,,,,,,20.0,1.3,18.0,1.1,1.1,Michael Porter Jr.,SF,DEN
211,16,0,,,,,,21.0,1.3,11.0,0.7,1.9,Duncan Robinson,SG,MIA
212,16,0,,,,,,20.0,1.3,7.0,0.4,2.9,Isaiah Roby,C,SA
213,18,8,,,,,,23.0,1.3,21.0,1.2,1.1,Edmond Sumner,PG,BKN
214,19,5,,,,,,22.0,1.2,17.0,0.9,1.3,Mo Bamba,C,ORL
215,18,1,,,,,,21.0,1.2,18.0,1.0,1.2,Usman Garuba,PF,HOU
216,16,3,,,,,,19.0,1.2,16.0,1.0,1.2,Jeff Green,PF,DEN
217,20,20,,,,,,23.0,1.2,28.0,1.4,0.8,De'Andre Hunter,SF,ATL
218,18,8,,,,,,22.0,1.2,13.0,0.7,1.7,Trey Murphy III,SF,NO
219,21,0,,,,,,25.0,1.2,16.0,0.8,1.6,Georges Niang,PF,PHI
220,17,2,,,,,,21.0,1.2,23.0,1.4,0.9,Kendrick Nunn,SG,LAL
221,19,1,,,,,,22.0,1.2,17.0,0.9,1.3,Jordan Nwora,SG,MIL
222,21,21,,,,,,26.0,1.2,25.0,1.2,1.0,Kelly Oubre Jr.,SG,CHA
223,18,0,,,,,,21.0,1.2,21.0,1.2,1.0,Taurean Prince,PF,MIN
224,19,19,,,,,,20.0,1.1,25.0,1.3,0.8,Brook Lopez,C,MIL
225,20,0,,,,,,21.0,1.1,7.0,0.4,3.0,Patty Mills,PG,BKN
226,17,8,,,,,,18.0,1.1,11.0,0.7,1.6,Cam Reddish,SF,NY
227,20,20,,,,,,22.0,1.1,26.0,1.3,0.8,Jalen Smith,PF,IND
228,20,0,,,,,,21.0,1.1,17.0,0.9,1.2,Obi Toppin,PF,NY
229,16,2,,,,,,18.0,1.1,10.0,0.6,1.8,Dalano Banton,PG,TOR
230,16,0,,,,,,18.0,1.1,10.0,0.6,1.8,Darius Bazley,PF,OKC
231,18,18,,,,,,20.0,1.1,8.0,0.4,2.5,Reggie Bullock,SF,DAL
232,16,0,,,,,,17.0,1.1,22.0,1.4,0.8,Rui Hachimura,PF,WAS
233,15,0,,,,,,17.0,1.1,9.0,0.6,1.9,Maxi Kleber,PF,DAL
234,17,0,,,,,,18.0,1.1,40.0,2.4,0.5,Christian Wood,C,DAL
235,19,15,,,,,,19.0,1.0,11.0,0.6,1.7,Santi Aldama,PF,MEM
236,17,15,,,,,,17.0,1.0,17.0,1.0,1.0,Troy Brown Jr.,SF,LAL
237,19,3,,,,,,19.0,1.0,19.0,1.0,1.0,Isaiah Jackson,C,IND
238,16,3,,,,,,16.0,1.0,22.0,1.4,0.7,DeAndre Jordan,C,DEN
239,16,0,,,,,,16.0,1.0,15.0,0.9,1.1,Jake LaRavia,SF,MEM
240,17,15,,,,,,17.0,1.0,27.0,1.6,0.6,Keegan Murray,PF,SAC
241,20,2,,,,,,20.0,1.0,16.0,0.8,1.3,Onyeka Okongwu,C,ATL
242,20,13,,,,,,19.0,1.0,11.0,0.6,1.7,Jeremiah Robinson-Earl,C,OKC
243,21,21,,,,,,20.0,1.0,22.0,1.1,0.9,P.J. Tucker,PF,PHI
244,15,7,,,,,,15.0,1.0,5.0,0.3,3.0,Dean Wade,PF,CLE
245,16,2,,,,,,15.0,0.9,18.0,1.1,0.8,Bismack Biyombo,C,PHO
246,21,16,,,,,,19.0,0.9,42.0,2.0,0.5,Bol Bol,PF,ORL
247,20,0,,,,,,17.0,0.9,18.0,0.9,0.9,Tari Eason,F,HOU
248,19,19,,,,,,18.0,0.9,19.0,1.0,0.9,Dorian Finney-Smith,SF,DAL
249,19,19,,,,,,17.0,0.9,28.0,1.5,0.6,Rudy Gobert,C,MIN
250,20,0,,,,,,17.0,0.9,12.0,0.6,1.4,Javonte Green,PF,CHI
251,18,0,,,,,,17.0,0.9,10.0,0.6,1.7,Justin Holiday,SF,ATL
252,16,0,,,,,,15.0,0.9,8.0,0.5,1.9,Luke Kornet,C,BOS
253,20,0,,,,,,18.0,0.9,13.0,0.7,1.4,Nassir Little,SF,POR
254,20,20,,,,,,17.0,0.9,32.0,1.6,0.5,Patrick Williams,PF,CHI
255,19,0,,,,,,15.0,0.8,6.0,0.3,2.5,Christian Braun,SG,DEN
