,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
104,20,20,32.9,,,,,,,,,,,38.0,65.0,103.0,5.2,Caleb Martin,SF,MIA
105,21,21,31.4,,,,,,,,,,,31.0,79.0,110.0,5.2,Kelly Oubre Jr.,SG,CHA
106,18,3,28.2,,,,,,,,,,,18.0,75.0,93.0,5.2,Russell Westbrook,PG,LAL
107,21,18,24.1,,,,,,,,,,,20.0,87.0,107.0,5.1,Deni Avdija,SF,WAS
108,15,15,32.1,,,,,,,,,,,7.0,69.0,76.0,5.1,Brandon Ingram,SF,NO
109,17,17,35.1,,,,,,,,,,,18.0,68.0,86.0,5.1,CJ McCollum,PG,NO
110,22,22,35.6,,,,,,,,,,,18.0,94.0,112.0,5.1,Royce O'Neale,PF,BKN
111,20,12,23.3,,,,,,,,,,,37.0,62.0,99.0,5.0,Torrey Craig,SF,PHO
112,19,19,30.5,,,,,,,,,,,8.0,87.0,95.0,5.0,Marcus Morris,PF,LAC
113,17,15,26.2,,,,,,,,,,,17.0,67.0,84.0,4.9,Troy Brown Jr.,SF,LAL
114,18,18,32.1,,,,,,,,,,,10.0,79.0,89.0,4.9,De'Aaron Fox,PG,SAC
115,20,20,35.8,,,,,,,,,,,21.0,77.0,98.0,4.9,Shai Gilgeous-Alexander,SG,OKC
116,15,14,31.7,,,,,,,,,,,19.0,54.0,73.0,4.9,Jrue Holiday,PG,MIL
117,19,19,31.8,,,,,,,,,,,23.0,70.0,93.0,4.9,Jaden Ivey,SG,DET
118,19,19,31.9,,,,,,,,,,,17.0,77.0,94.0,4.9,Keldon Johnson,SF,SA
119,20,0,15.1,,,,,,,,,,,41.0,57.0,98.0,4.9,Walker Kessler,C,UTA
120,21,21,36.3,,,,,,,,,,,16.0,86.0,102.0,4.9,Kyle Lowry,PG,MIA
121,20,13,20.4,,,,,,,,,,,33.0,64.0,97.0,4.9,Jeremiah Robinson-Earl,C,OKC
122,17,7,28.1,,,,,,,,,,,27.0,57.0,84.0,4.9,Justise Winslow,SF,POR
123,18,17,31.2,,,,,,,,,,,20.0,66.0,86.0,4.8,Saddiq Bey,SF,DET
124,16,0,23.5,,,,,,,,,,,12.0,65.0,77.0,4.8,Rui Hachimura,PF,WAS
125,23,23,28.3,,,,,,,,,,,32.0,78.0,110.0,4.8,Kelly Olynyk,PF,UTA
126,18,14,23.2,,,,,,,,,,,27.0,60.0,87.0,4.8,Aleksej Pokusevski,PF,OKC
127,14,2,14.4,,,,,,,,,,,32.0,35.0,67.0,4.8,Jericho Sims,C,NY
128,21,21,31.9,,,,,,,,,,,24.0,74.0,98.0,4.7,P.J. Washington,PF,CHA
129,20,20,33.8,,,,,,,,,,,17.0,76.0,93.0,4.7,Tyrese Haliburton,PG,IND
130,20,20,31.5,,,,,,,,,,,22.0,71.0,93.0,4.7,Buddy Hield,SG,IND
131,20,10,28.2,,,,,,,,,,,16.0,77.0,93.0,4.7,Grant Williams,PF,BOS
132,20,1,19.1,,,,,,,,,,,22.0,69.0,91.0,4.6,Brandon Clarke,PF,MEM
133,21,21,30.3,,,,,,,,,,,33.0,63.0,96.0,4.6,Luguentz Dort,SF,OKC
134,19,3,16.7,,,,,,,,,,,28.0,59.0,87.0,4.6,Isaiah Jackson,C,IND
135,17,14,32.1,,,,,,,,,,,18.0,60.0,78.0,4.6,Caris LeVert,SF,CLE
136,21,3,25.8,,,,,,,,,,,21.0,76.0,97.0,4.6,Jalen McDaniels,PF,CHA
137,19,5,18.7,,,,,,,,,,,22.0,64.0,86.0,4.5,Mo Bamba,C,ORL
138,20,8,29.2,,,,,,,,,,,21.0,68.0,89.0,4.5,Bruce Brown,SF,DEN
139,20,0,22.7,,,,,,,,,,,11.0,78.0,89.0,4.5,Immanuel Quickley,PG,NY
140,19,19,36.4,,,,,,,,,,,15.0,68.0,83.0,4.4,Jerami Grant,PF,POR
