,GP  Games played,GS  Games started,STL  Total Steals,SPG  Steals Per Game,BLK  Total Blocks,BPG  Blocks Per Game,Player,Position,Team
156,23,10,,,10.0,0.43,Killian Hayes,PG,DET
157,14,0,,,6.0,0.43,Serge Ibaka,PF,MIL
158,19,19,,,8.0,0.42,Kentavious Caldwell-Pope,SG,DEN
159,19,0,,,8.0,0.42,JaMychal Green,C,GS
160,17,17,,,7.0,0.41,Eric Gordon,SF,HOU
161,17,13,,,7.0,0.41,Dwight Powell,C,DAL
162,17,17,,,7.0,0.41,Lonnie Walker IV,SF,LAL
163,20,20,,,8.0,0.4,DeMar DeRozan,SF,CHI
164,20,0,,,8.0,0.4,Tari Eason,F,HOU
165,20,20,,,8.0,0.4,Buddy Hield,SG,IND
166,20,20,,,8.0,0.4,Kyle Kuzma,PF,WAS
167,15,1,,,6.0,0.4,Noah Vonleh,C,BOS
168,23,23,,,9.0,0.39,Jordan Clarkson,PG,UTA
169,23,0,,,9.0,0.39,Talen Horton-Tucker,SF,UTA
170,16,16,,,6.0,0.38,Michael Porter Jr.,SF,DEN
171,19,11,,,7.0,0.37,John Konchar,SG,MEM
172,19,19,,,7.0,0.37,Donovan Mitchell,SG,CLE
173,19,5,,,7.0,0.37,Bobby Portis,C,MIL
174,14,0,,,5.0,0.36,Andre Drummond,C,CHI
175,17,6,,,6.0,0.35,Jalen Williams,SG,OKC
176,18,18,,,6.0,0.33,Klay Thompson,SG,GS
177,21,21,,,7.0,0.33,P.J. Tucker,PF,PHI
178,15,7,,,5.0,0.33,Dean Wade,PF,CLE
179,21,21,,,7.0,0.33,Dejounte Murray,PG,ATL
180,21,0,,,7.0,0.33,Georges Niang,PF,PHI
181,19,19,,,6.0,0.32,Jaylen Brown,SF,BOS
182,19,19,,,6.0,0.32,Jaden Ivey,SG,DET
183,22,4,,,7.0,0.32,Jordan Poole,SG,GS
184,22,5,,,7.0,0.32,Norman Powell,SG,LAC
185,19,7,,,6.0,0.32,Austin Reaves,SG,LAL
186,19,19,,,6.0,0.32,Marcus Smart,PG,BOS
187,19,12,,,6.0,0.32,Max Strus,SG,MIA
188,16,0,,,5.0,0.31,Isaiah Roby,C,SA
189,20,20,,,6.0,0.3,Tyrese Haliburton,PG,IND
190,20,11,,,6.0,0.3,Joe Harris,SG,BKN
191,20,0,,,6.0,0.3,Jalen Johnson,SF,ATL
192,20,20,,,6.0,0.3,Marcus Morris,PF,LAC
193,20,20,,,6.0,0.3,Jonas Valanciunas,C,NO
194,17,15,,,5.0,0.29,Grayson Allen,SF,MIL
195,21,0,,,6.0,0.29,Will Barton,SG,WAS
196,17,17,,,5.0,0.29,Mike Conley,PG,UTA
197,21,21,,,6.0,0.29,Luguentz Dort,SF,OKC
198,21,21,,,6.0,0.29,Anthony Edwards,SG,MIN
199,21,0,,,6.0,0.29,Sam Hauser,SF,BOS
200,17,17,,,5.0,0.29,Ja Morant,PG,MEM
201,17,0,,,5.0,0.29,Josh Okogie,SF,PHO
202,21,21,,,6.0,0.29,Kelly Oubre Jr.,SG,CHA
203,17,3,,,5.0,0.29,Matisse Thybulle,SF,PHI
204,21,21,,,6.0,0.29,Jarred Vanderbilt,C,UTA
205,21,21,,,6.0,0.29,Franz Wagner,G,ORL
206,18,0,,,5.0,0.28,Justin Holiday,SF,ATL
207,18,1,,,5.0,0.28,Moses Moody,SF,GS
208,18,8,,,5.0,0.28,Edmond Sumner,PG,BKN
209,15,15,,,4.0,0.27,Darius Garland,PG,CLE
210,15,15,,,4.0,0.27,Tyrese Maxey,PG,PHI
211,15,5,,,4.0,0.27,Aaron Wiggins,SF,OKC
212,19,2,,,5.0,0.26,Danuel House Jr.,SF,PHI
213,19,0,,,5.0,0.26,T.J. McConnell,PG,IND
214,19,0,,,5.0,0.26,Derrick Rose,PG,NY
215,20,0,,,5.0,0.25,Devonte' Graham,PG,NO
216,20,20,,,5.0,0.25,Jalen Green,SG,HOU
217,16,0,,,4.0,0.25,Wesley Matthews,SG,MIL
218,20,0,,,5.0,0.25,David Roddy,SF,MEM
219,20,5,,,5.0,0.25,Shaedon Sharpe,SG,POR
220,17,0,,,4.0,0.24,Malcolm Brogdon,PG,BOS
221,17,4,,,4.0,0.24,Anthony Gill,PF,WAS
222,21,0,,,5.0,0.24,Obi Toppin,PF,NY
