,GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
188,8,8,,,25.3,14.0,1.8,0.0,0.0,0.0,0.0,Cameron Johnson,SF,PHO
189,21,5,,,25.3,37.0,1.8,0.0,1.0,0.0,0.0,Norman Powell,SG,LAC
190,20,5,,,25.2,37.0,1.9,1.0,1.0,0.0,0.0,Kenyon Martin Jr.,SF,HOU
191,18,10,,,25.2,44.0,2.4,0.0,1.0,0.0,0.0,Cameron Payne,PG,PHO
192,20,11,,,25.1,44.0,2.2,0.0,0.0,0.0,0.0,Joe Harris,SG,BKN
193,6,3,,,25.0,11.0,1.8,0.0,1.0,0.0,0.0,Dennis Schroder,PG,LAL
194,15,0,,,24.9,29.0,1.9,0.0,0.0,0.0,0.0,Maxi Kleber,PF,DAL
195,20,20,,,24.9,52.0,2.6,0.0,0.0,0.0,0.0,Jeremy Sochan,PF,SA
196,18,8,,,24.8,32.0,1.8,0.0,0.0,0.0,0.0,Terrence Ross,SG,ORL
197,21,21,,,24.8,66.0,3.1,1.0,0.0,0.0,3.0,Jarred Vanderbilt,C,UTA
198,17,6,,,24.6,45.0,2.6,1.0,0.0,0.0,1.0,Jalen Williams,SG,OKC
199,15,7,,,24.5,40.0,2.7,0.0,0.0,0.0,0.0,Dean Wade,PF,CLE
200,21,18,,,24.1,65.0,3.1,0.0,0.0,0.0,0.0,Deni Avdija,SF,WAS
201,20,20,,,24.0,43.0,2.2,0.0,0.0,0.0,0.0,Jalen Smith,PF,IND
202,9,8,,,23.8,22.0,2.4,0.0,1.0,0.0,0.0,Marvin Bagley III,PF,DET
203,16,0,,,23.7,42.0,2.6,0.0,1.0,0.0,0.0,Chris Boucher,C,TOR
204,18,1,,,23.7,20.0,1.1,0.0,0.0,0.0,0.0,Tim Hardaway Jr.,SG,DAL
205,23,6,,,23.7,53.0,2.3,0.0,0.0,0.0,0.0,Collin Sexton,SG,UTA
206,20,3,,,23.6,11.0,0.6,0.0,0.0,0.0,0.0,Tyus Jones,PG,MEM
207,16,0,,,23.5,18.0,1.1,0.0,0.0,0.0,0.0,Rui Hachimura,PF,WAS
208,22,9,,,23.5,64.0,2.9,0.0,0.0,0.0,1.0,Killian Hayes,PG,DET
209,17,8,,,23.4,30.0,1.8,0.0,1.0,0.0,0.0,Cam Reddish,SF,NY
210,20,12,,,23.3,47.0,2.4,0.0,1.0,0.0,0.0,Torrey Craig,SF,PHO
211,4,0,,,23.3,8.0,2.0,0.0,0.0,0.0,0.0,Joshua Primo,SG,SA
212,20,20,,,23.3,50.0,2.5,0.0,0.0,0.0,0.0,Jonas Valanciunas,C,NO
213,12,0,,,23.2,19.0,1.6,0.0,0.0,0.0,0.0,Seth Curry,SG,BKN
214,18,14,,,23.2,34.0,1.9,0.0,0.0,0.0,0.0,Aleksej Pokusevski,PF,OKC
215,21,21,,,22.9,64.0,3.0,0.0,0.0,0.0,1.0,Kevon Looney,C,GS
216,17,2,,,22.9,31.0,1.8,0.0,1.0,0.0,0.0,Josh Richardson,SG,SA
217,17,6,,,22.8,25.0,1.5,0.0,2.0,0.0,0.0,Shake Milton,SG,PHI
218,21,0,,,22.8,44.0,2.1,0.0,0.0,0.0,0.0,Cedi Osman,SF,CLE
219,4,0,,,22.8,5.0,1.3,0.0,0.0,0.0,0.0,Delon Wright,SG,WAS
220,17,0,,,22.7,24.0,1.4,1.0,0.0,0.0,0.0,Malcolm Brogdon,PG,BOS
221,20,0,,,22.7,36.0,1.8,0.0,0.0,0.0,0.0,Immanuel Quickley,PG,NY
222,3,2,,,22.7,15.0,5.0,0.0,0.0,0.0,1.0,Jae'Sean Tate,SF,HOU
223,21,0,,,22.6,24.0,1.1,1.0,0.0,0.0,0.0,Will Barton,SG,WAS
224,19,0,,,22.6,34.0,1.8,0.0,2.0,1.0,0.0,Malik Monk,SG,SAC
225,20,7,,,22.5,55.0,2.8,0.0,0.0,0.0,0.0,Isaiah Hartenstein,C,NY
226,5,3,,,22.4,7.0,1.4,0.0,0.0,0.0,0.0,Kawhi Leonard,SF,LAC
227,18,4,,,22.4,30.0,1.7,0.0,0.0,0.0,0.0,Tre Mann,PG,OKC
228,18,0,,,22.4,34.0,1.9,1.0,1.0,0.0,0.0,Larry Nance Jr.,PF,NO
229,17,0,,,22.2,29.0,1.7,0.0,1.0,0.0,0.0,John Wall,PG,LAC
230,19,0,,,21.8,45.0,2.4,0.0,0.0,0.0,0.0,Jalen Duren,C,DET
231,16,9,,,21.8,42.0,2.6,0.0,0.0,0.0,0.0,Aaron Nesmith,SF,IND
232,18,7,,,21.8,34.0,1.9,0.0,0.0,0.0,0.0,Chuma Okeke,PF,ORL
233,12,11,,,21.6,42.0,3.5,0.0,0.0,0.0,1.0,Mitchell Robinson,C,NY
234,9,6,,,21.6,16.0,1.8,0.0,0.0,0.0,0.0,Lamar Stevens,SG,CLE
235,13,0,,,21.5,24.0,1.8,0.0,1.0,0.0,0.0,Nah'Shon Hyland,PG,DEN
236,19,0,,,21.3,27.0,1.4,0.0,0.0,0.0,0.0,George Hill,PG,MIL
237,14,7,,,21.3,20.0,1.4,0.0,1.0,0.0,0.0,Luke Kennard,SG,LAC
238,9,0,,,21.2,25.0,2.8,1.0,0.0,0.0,0.0,Alec Burks,PG,DET
239,14,1,,,20.9,27.0,1.9,0.0,1.0,0.0,0.0,Jordan Goodwin,SG,WAS
240,19,0,,,20.9,32.0,1.7,0.0,0.0,0.0,0.0,Doug McDermott,SF,SA
241,20,0,,,20.8,28.0,1.4,1.0,2.0,0.0,0.0,Damion Lee,SG,PHO
242,21,9,,,20.8,39.0,1.9,0.0,0.0,0.0,0.0,Terance Mann,SF,LAC
243,20,2,,,20.8,60.0,3.0,0.0,0.0,0.0,0.0,Onyeka Okongwu,C,ATL
244,16,1,,,20.7,22.0,1.4,0.0,0.0,0.0,0.0,Kevin Love,PF,CLE
245,15,6,,,20.7,37.0,2.5,0.0,0.0,0.0,0.0,Andrew Nembhard,PG,IND
246,15,5,,,20.7,25.0,1.7,0.0,0.0,0.0,0.0,Aaron Wiggins,SF,OKC
247,20,5,,,20.5,43.0,2.2,0.0,2.0,1.0,0.0,Jose Alvarado,PG,NO
248,16,2,,,20.5,21.0,1.3,0.0,2.0,0.0,0.0,Kyle Anderson,SF,MIN
249,19,3,,,20.5,37.0,1.9,0.0,1.0,0.0,0.0,Kenrich Williams,SG,OKC
250,12,0,,,20.4,19.0,1.6,0.0,0.0,0.0,0.0,Precious Achiuwa,C,TOR
251,20,13,,,20.4,37.0,1.9,0.0,0.0,0.0,0.0,Jeremiah Robinson-Earl,C,OKC
